"keyword","seed","reason","search_volume"
"scrisoare medicala anexa 5","scrisoare medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","110"
"model scrisoare medicala handicap","scrisoare medicala","Physical location, employment, form or public-system intent; no commercial owner","90"
"model scrisoare medicala medic de familie","scrisoare medicala","Physical location, employment, form or public-system intent; no commercial owner","70"
"scrisoare medicala anexa 43 model nou","scrisoare medicala","Physical location, employment, form or public-system intent; no commercial owner","70"
"scrisoare medicala handicap anexa 5","scrisoare medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","70"
"scrisoare medicala anexa 5 pdf","scrisoare medicala","Physical location, employment, form or public-system intent; no commercial owner","50"
"model scrisoare medicala word","scrisoare medicala","Physical location, employment, form or public-system intent; no commercial owner","50"
"scrisoare medicala completata","scrisoare medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","50"
"scrisoare medicala medic de familie anexa 5","scrisoare medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","40"
"scrisoare medicala handicap pdf","scrisoare medicala","Physical location, employment, form or public-system intent; no commercial owner","40"
"scrisoare medicala handicap adulti","scrisoare medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","40"
"scrisoare medicala anexa 43 pdf","scrisoare medicala","Physical location, employment, form or public-system intent; no commercial owner","40"
"anexa 43 scrisoare medicala 2026","scrisoare medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","30"
"scrisoare medicala anexa 43 word","scrisoare medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","30"
"anexa 43 scrisoare medicala 2024","scrisoare medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"valabilitate scrisoare medicala 2024","scrisoare medicala","Reviewed exclusion: specialist, shopping, form, foreign-market or otherwise unsupported intent","10"
"model scrisoare medicala iulie 2023","scrisoare medicala","Physical location, employment, form or public-system intent; no commercial owner","10"
"rolul scrisorii medicale","scrisoare medicala","No evidenced existing service intent","10"
"model scrisoare medicala anexa 5","scrisoare medicala","Physical location, employment, form or public-system intent; no commercial owner",""
